Provinsi,2009,2010
ACEH,359751,313649
SUMATERA UTARA,464256,468724
SUMATERA BARAT,228176,229693
RIAU,122738,115961
JAMBI,117336,112434
SUMATERA SELATAN,611072,611386
BENGKULU,89614,92976
LAMPUNG,349144,345437
KEP. BANGKA BELITUNG,5017,4056
KEP. RIAU,238,442
DKI JAKARTA,1215,1312
JAWA BARAT,937373,930268
JAWA TENGAH,960768,962471
DI YOGYAKARTA,55325,55523
JAWA TIMUR,1100517,1107276
BANTEN,195809,196744
BALI,79185,81425
NUSA TENGGARA BARAT,236420,238619
NUSA TENGGARA TIMUR,139943,142479
KALIMANTAN BARAT,300906,307016
KALIMANTAN TENGAH,171428,175633
KALIMANTAN SELATAN,464581,436318
KALIMANTAN TIMUR,88308,82796
KALIMANTAN UTARA,-,-
SULAWESI UTARA,61134,52789
SULAWESI TENGAH,130879,136241
SULAWESI SELATAN,565601,572089
SULAWESI TENGGARA,89601,83356
GORONTALO,29062,29566
SULAWESI BARAT,56056,59476
MALUKU,11281,11451
MALUKU UTARA,8890,9478
PAPUA BARAT,9249,7711
PAPUA,27454,27757
INDONESIA,8068327,8002552
