Provinsi,2011,2012
ACEH,307556,308973
SUMATERA UTARA,467138,448722
SUMATERA BARAT,231463,230775
RIAU,115897,109585
JAMBI,113757,113379
SUMATERA SELATAN,629355,610314
BENGKULU,90217,88877
LAMPUNG,350949,364111
KEP. BANGKA BELITUNG,5932,6133
KEP. RIAU,393,559
DKI JAKARTA,1098,1001
JAWA BARAT,930507,923575
JAWA TENGAH,960970,962289
DI YOGYAKARTA,55291,55023
JAWA TIMUR,1106449,1105550
BANTEN,197165,195951
BALI,80164,79399
NUSA TENGGARA BARAT,240180,246569
NUSA TENGGARA TIMUR,144574,148810
KALIMANTAN BARAT,318581,322541
KALIMANTAN TENGAH,202237,226903
KALIMANTAN SELATAN,457155,451869
KALIMANTAN TIMUR,90518,90887
KALIMANTAN UTARA,-,-
SULAWESI UTARA,56181,56173
SULAWESI TENGAH,137786,143475
SULAWESI SELATAN,576559,592376
SULAWESI TENGGARA,85585,92280
GORONTALO,28707,30728
SULAWESI BARAT,55016,59020
MALUKU,14085,15972
MALUKU UTARA,9093,9359
PAPUA BARAT,7648,8330
PAPUA,27756,27756
INDONESIA,8095962,8127264
