Provinsi,2007,2008
ACEH,312803,323010
SUMATERA UTARA,453372,478521
SUMATERA BARAT,227355,225623
RIAU,128242,122255
JAMBI,117543,116212
SUMATERA SELATAN,530204,577821
BENGKULU,93779,89244
LAMPUNG,342507,348732
KEP. BANGKA BELITUNG,4176,3506
KEP. RIAU,124,133
DKI JAKARTA,1200,1200
JAWA BARAT,934845,945544
JAWA TENGAH,962942,963984
DI YOGYAKARTA,55540,55332
JAWA TIMUR,1096605,1108578
BANTEN,196370,195583
BALI,80251,80873
NUSA TENGGARA BARAT,231129,230986
NUSA TENGGARA TIMUR,122649,124416
KALIMANTAN BARAT,290392,292687
KALIMANTAN TENGAH,159059,157406
KALIMANTAN SELATAN,471042,477336
KALIMANTAN TIMUR,92934,84235
KALIMANTAN UTARA,-,-
SULAWESI UTARA,61098,61133
SULAWESI TENGAH,128250,129016
SULAWESI SELATAN,560989,567520
SULAWESI TENGGARA,65338,82806
GORONTALO,27794,31327
SULAWESI BARAT,50800,53220
MALUKU,10035,11461
MALUKU UTARA,11782,13630
PAPUA BARAT,8395,9116
PAPUA,26397,29018
INDONESIA,7855941,7991464
